model_version,issue_time_utc,delivery_date,github_run_id,github_run_attempt,monte_carlo_scenarios,position_mwh,confidence_level,period_count,p50_daily_min_gbp_mwh,p50_daily_max_gbp_mwh,p50_daily_mean_gbp_mwh,probability_any_negative_period,scenario_var_gbp,expected_shortfall_gbp,worst_loss_gbp,best_profit_gbp,report_path
core-12m-operational-v1,2026-08-14T12:31:03Z,2026-08-15,31800655171,1,1000,100.0,0.95,48,21.309689482878788,98.90649873166169,66.81506629279944,0.029,14180.817135256022,16008.57496335954,21146.830743657643,5632.137910848451,live/reports/2026-08-15/run-31800655171-attempt-1.json
core-12m-operational-v1,2026-08-15T12:01:15Z,2026-08-16,31883532055,1,1000,100.0,0.95,48,51.66188247722011,103.565910865587,78.5349473571693,0.0,11903.8397438402,13590.020859425123,15680.074005043818,2979.884325996772,live/reports/2026-08-16/run-31883532055-attempt-1.json
core-12m-operational-v1,2026-08-16T12:01:01Z,2026-08-17,31945896568,1,1000,100.0,0.95,48,66.25720040312211,113.78289538121749,85.36345170609711,0.0,3784.900152156261,4941.984449738158,7708.86865923999,9871.649681144318,live/reports/2026-08-17/run-31945896568-attempt-1.json
core-12m-operational-v1,2026-08-17T12:13:47Z,2026-08-18,32028778917,1,1000,100.0,0.95,48,8.591865624678046,104.01234640155036,65.34113721469618,0.721,13505.713860672313,15639.19994464608,19060.051990813023,9479.518765224131,live/reports/2026-08-18/run-32028778917-attempt-1.json
core-12m-operational-v1,2026-08-18T12:15:54Z,2026-08-19,32135891606,1,1000,100.0,0.95,48,67.2821250867778,110.07558091732758,84.15207363234877,0.0,11192.538707999862,12840.414456844072,15348.936099254188,4258.028780191311,live/reports/2026-08-19/run-32135891606-attempt-1.json
core-12m-operational-v1,2026-08-19T12:15:12Z,2026-08-20,32251676099,1,1000,100.0,0.95,48,56.39718247792469,110.3666932327526,84.50314684994595,0.005,7638.831431809186,8833.691845596159,11865.688949356305,6847.076551501105,live/reports/2026-08-20/run-32251676099-attempt-1.json
core-12m-operational-v1,2026-08-20T12:16:48Z,2026-08-21,32368011704,1,1000,100.0,0.95,48,67.3821266216656,109.67557428362204,85.1753518725423,0.0,8065.131279168312,9170.748245793911,11464.5452999818,3641.4022029531775,live/reports/2026-08-21/run-32368011704-attempt-1.json
core-12m-operational-v1,2026-08-21T12:16:35Z,2026-08-22,32481089841,1,1000,100.0,0.95,48,45.80966344737583,100.21653574739123,74.62850578115565,0.0,14486.108155703538,16353.7510507342,20435.0724605694,3328.9061850780163,live/reports/2026-08-22/run-32481089841-attempt-1.json
core-12m-operational-v1,2026-08-22T12:01:36Z,2026-08-23,32571859088,1,1000,100.0,0.95,48,67.00350889713243,112.60459254525873,83.03357786864545,0.0,11244.49614035431,12724.0148731699,16493.716534126917,3522.319616457695,live/reports/2026-08-23/run-32571859088-attempt-1.json
core-12m-operational-v1,2026-08-23T12:01:53Z,2026-08-24,32638219322,1,1000,100.0,0.95,48,66.31181154765082,101.85612501736904,85.28079447198996,0.0,8408.166121975795,9849.252213731945,13437.925023875998,5271.725571355663,live/reports/2026-08-24/run-32638219322-attempt-1.json
core-12m-operational-v1,2026-08-24T12:17:20Z,2026-08-25,32726282825,1,1000,100.0,0.95,48,36.474442374342196,104.38639619196573,76.38799558368302,0.06,24733.19294474788,27192.037566666288,31496.3964921728,-538.0942420140536,live/reports/2026-08-25/run-32726282825-attempt-1.json
