delivery_time_utc,actual_price,actual_revision
2026-08-05T18:00:00Z,124.9,initial
2026-08-05T18:30:00Z,127.61,initial
2026-08-05T19:00:00Z,129.01,initial
2026-08-05T19:30:00Z,126.51,initial
2026-08-05T20:00:00Z,129.82,initial
2026-08-05T20:30:00Z,130.92,initial
2026-08-05T21:00:00Z,130.76,initial
2026-08-05T21:30:00Z,124.1,initial
2026-08-05T22:00:00Z,118.93,initial
2026-08-05T22:30:00Z,115.69,initial
2026-08-05T23:00:00Z,113.1,initial
2026-08-05T23:30:00Z,113.77,initial
2026-08-06T00:00:00Z,112.85,initial
2026-08-06T00:30:00Z,114.74,initial
2026-08-06T01:00:00Z,111.91,initial
2026-08-06T01:30:00Z,112.72,initial
2026-08-06T02:00:00Z,107.15,initial
2026-08-06T02:30:00Z,110.0,initial
2026-08-06T03:00:00Z,110.63,initial
2026-08-06T03:30:00Z,114.18,initial
2026-08-06T04:00:00Z,120.25,initial
2026-08-06T04:30:00Z,130.3,initial
2026-08-06T05:00:00Z,135.0,initial
2026-08-06T05:30:00Z,145.49,initial
2026-08-06T06:00:00Z,131.64,initial
2026-08-06T06:30:00Z,137.62,initial
2026-08-06T07:00:00Z,103.07,initial
2026-08-06T07:30:00Z,112.26,initial
2026-08-06T08:00:00Z,91.04,initial
2026-08-06T08:30:00Z,73.31,initial
2026-08-06T09:00:00Z,64.95,initial
2026-08-06T09:30:00Z,53.72,initial
2026-08-06T10:00:00Z,61.21,initial
2026-08-06T10:30:00Z,76.76,initial
2026-08-06T11:00:00Z,86.11,initial
2026-08-06T11:30:00Z,88.78,initial
2026-08-06T12:00:00Z,94.51,initial
2026-08-06T12:30:00Z,94.86,initial
2026-08-06T13:00:00Z,97.66,initial
2026-08-06T13:30:00Z,98.66,initial
2026-08-06T14:00:00Z,103.28,initial
2026-08-06T14:30:00Z,110.36,initial
2026-08-06T15:00:00Z,106.98,initial
2026-08-06T15:30:00Z,107.32,initial
2026-08-06T16:00:00Z,101.3,initial
2026-08-06T16:30:00Z,109.66,initial
2026-08-06T17:00:00Z,122.81,initial
2026-08-06T17:30:00Z,127.4,initial
2026-08-06T18:00:00Z,149.24,initial
2026-08-06T18:30:00Z,152.61,initial
2026-08-06T19:00:00Z,156.19,initial
2026-08-06T19:30:00Z,155.45,initial
2026-08-06T20:00:00Z,158.08,initial
2026-08-06T20:30:00Z,152.39,initial
2026-08-06T21:00:00Z,146.74,initial
2026-08-06T21:30:00Z,139.43,initial
2026-08-06T22:00:00Z,143.49,initial
2026-08-06T22:30:00Z,140.35,initial
2026-08-06T23:00:00Z,132.57,initial
2026-08-06T23:30:00Z,126.3,initial
2026-08-07T00:00:00Z,117.91,initial
2026-08-07T00:30:00Z,116.18,initial
2026-08-07T01:00:00Z,117.08,initial
2026-08-07T01:30:00Z,113.42,initial
2026-08-07T02:00:00Z,112.76,initial
2026-08-07T02:30:00Z,110.94,initial
2026-08-07T03:00:00Z,120.08,initial
2026-08-07T03:30:00Z,114.13,initial
2026-08-07T04:00:00Z,130.09,initial
2026-08-07T04:30:00Z,130.62,initial
2026-08-07T05:00:00Z,137.45,initial
2026-08-07T05:30:00Z,143.51,initial
2026-08-07T06:00:00Z,114.24,initial
2026-08-07T06:30:00Z,134.31,initial
2026-08-07T07:00:00Z,129.49,initial
2026-08-07T07:30:00Z,125.38,initial
2026-08-07T08:00:00Z,107.54,initial
2026-08-07T08:30:00Z,86.8,initial
2026-08-07T09:00:00Z,79.65,initial
2026-08-07T09:30:00Z,73.44,initial
2026-08-07T10:00:00Z,63.89,initial
2026-08-07T10:30:00Z,58.57,initial
2026-08-07T11:00:00Z,57.63,initial
2026-08-07T11:30:00Z,55.73,initial
2026-08-07T12:00:00Z,62.02,initial
2026-08-07T12:30:00Z,61.52,initial
2026-08-07T13:00:00Z,59.0,initial
2026-08-07T13:30:00Z,58.58,initial
2026-08-07T14:00:00Z,74.98,initial
2026-08-07T14:30:00Z,75.75,initial
2026-08-07T15:00:00Z,79.67,initial
2026-08-07T15:30:00Z,79.52,initial
2026-08-07T16:00:00Z,106.31,initial
